source,target,data_mb,data_bytes,files
mprojectid0000009,mdifffitid0000072,106.058880000,106058880,pposs2ukstu_blue_002_001.fits|pposs2ukstu_blue_002_001_area.fits
mprojectid0000001,mdifffitid0000072,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000001,mdifffitid0000073,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000010,mdifffitid0000073,106.346880000,106346880,pposs2ukstu_blue_002_002.fits|pposs2ukstu_blue_002_002_area.fits
mprojectid0000001,mdifffitid0000074,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000011,mdifffitid0000074,106.387200000,106387200,pposs2ukstu_blue_002_003.fits|pposs2ukstu_blue_002_003_area.fits
mprojectid0000001,mdifffitid0000075,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000012,mdifffitid0000075,106.387200000,106387200,pposs2ukstu_blue_002_004.fits|pposs2ukstu_blue_002_004_area.fits
mprojectid0000001,mdifffitid0000076,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000013,mdifffitid0000076,106.387200000,106387200,pposs2ukstu_blue_002_005.fits|pposs2ukstu_blue_002_005_area.fits
mprojectid0000001,mdifffitid0000077,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000014,mdifffitid0000077,106.467840000,106467840,pposs2ukstu_blue_002_006.fits|pposs2ukstu_blue_002_006_area.fits
mprojectid0000001,mdifffitid0000078,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000015,mdifffitid0000078,106.508160000,106508160,pposs2ukstu_blue_002_007.fits|pposs2ukstu_blue_002_007_area.fits
mprojectid0000001,mdifffitid0000079,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000016,mdifffitid0000079,57.392640000,57392640,pposs2ukstu_blue_002_008.fits|pposs2ukstu_blue_002_008_area.fits
mprojectid0000001,mdifffitid0000080,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000017,mdifffitid0000080,105.972480000,105972480,pposs2ukstu_blue_003_001.fits|pposs2ukstu_blue_003_001_area.fits
mprojectid0000001,mdifffitid0000081,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000018,mdifffitid0000081,106.387200000,106387200,pposs2ukstu_blue_003_002.fits|pposs2ukstu_blue_003_002_area.fits
mprojectid0000001,mdifffitid0000082,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000019,mdifffitid0000082,106.346880000,106346880,pposs2ukstu_blue_003_003.fits|pposs2ukstu_blue_003_003_area.fits
mprojectid0000001,mdifffitid0000083,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000020,mdifffitid0000083,106.346880000,106346880,pposs2ukstu_blue_003_004.fits|pposs2ukstu_blue_003_004_area.fits
mprojectid0000001,mdifffitid0000084,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000021,mdifffitid0000084,106.387200000,106387200,pposs2ukstu_blue_003_005.fits|pposs2ukstu_blue_003_005_area.fits
mprojectid0000001,mdifffitid0000085,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000022,mdifffitid0000085,106.427520000,106427520,pposs2ukstu_blue_003_006.fits|pposs2ukstu_blue_003_006_area.fits
mprojectid0000001,mdifffitid0000086,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000023,mdifffitid0000086,106.467840000,106467840,pposs2ukstu_blue_003_007.fits|pposs2ukstu_blue_003_007_area.fits
mprojectid0000001,mdifffitid0000087,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000024,mdifffitid0000087,57.369600000,57369600,pposs2ukstu_blue_003_008.fits|pposs2ukstu_blue_003_008_area.fits
mprojectid0000001,mdifffitid0000088,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000025,mdifffitid0000088,105.891840000,105891840,pposs2ukstu_blue_004_001.fits|pposs2ukstu_blue_004_001_area.fits
mprojectid0000001,mdifffitid0000089,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000026,mdifffitid0000089,106.346880000,106346880,pposs2ukstu_blue_004_002.fits|pposs2ukstu_blue_004_002_area.fits
mprojectid0000001,mdifffitid0000090,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000027,mdifffitid0000090,106.306560000,106306560,pposs2ukstu_blue_004_003.fits|pposs2ukstu_blue_004_003_area.fits
mprojectid0000001,mdifffitid0000091,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000028,mdifffitid0000091,106.346880000,106346880,pposs2ukstu_blue_004_004.fits|pposs2ukstu_blue_004_004_area.fits
mprojectid0000001,mdifffitid0000092,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000029,mdifffitid0000092,106.387200000,106387200,pposs2ukstu_blue_004_005.fits|pposs2ukstu_blue_004_005_area.fits
mprojectid0000001,mdifffitid0000093,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000030,mdifffitid0000093,106.387200000,106387200,pposs2ukstu_blue_004_006.fits|pposs2ukstu_blue_004_006_area.fits
mprojectid0000031,mdifffitid0000094,106.467840000,106467840,pposs2ukstu_blue_004_007.fits|pposs2ukstu_blue_004_007_area.fits
mprojectid0000001,mdifffitid0000094,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000032,mdifffitid0000095,57.409920000,57409920,pposs2ukstu_blue_004_008.fits|pposs2ukstu_blue_004_008_area.fits
mprojectid0000001,mdifffitid0000095,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000033,mdifffitid0000096,105.851520000,105851520,pposs2ukstu_blue_005_001.fits|pposs2ukstu_blue_005_001_area.fits
mprojectid0000001,mdifffitid0000096,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000034,mdifffitid0000097,106.306560000,106306560,pposs2ukstu_blue_005_002.fits|pposs2ukstu_blue_005_002_area.fits
mprojectid0000001,mdifffitid0000097,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000035,mdifffitid0000098,106.306560000,106306560,pposs2ukstu_blue_005_003.fits|pposs2ukstu_blue_005_003_area.fits
mprojectid0000001,mdifffitid0000098,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000036,mdifffitid0000099,106.346880000,106346880,pposs2ukstu_blue_005_004.fits|pposs2ukstu_blue_005_004_area.fits
mprojectid0000001,mdifffitid0000099,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000037,mdifffitid0000100,106.346880000,106346880,pposs2ukstu_blue_005_005.fits|pposs2ukstu_blue_005_005_area.fits
mprojectid0000001,mdifffitid0000100,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000038,mdifffitid0000101,106.387200000,106387200,pposs2ukstu_blue_005_006.fits|pposs2ukstu_blue_005_006_area.fits
mprojectid0000001,mdifffitid0000101,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000039,mdifffitid0000102,106.467840000,106467840,pposs2ukstu_blue_005_007.fits|pposs2ukstu_blue_005_007_area.fits
mprojectid0000001,mdifffitid0000102,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000040,mdifffitid0000103,57.392640000,57392640,pposs2ukstu_blue_005_008.fits|pposs2ukstu_blue_005_008_area.fits
mprojectid0000001,mdifffitid0000103,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000041,mdifffitid0000104,109.837440000,109837440,pposs2ukstu_blue_006_001.fits|pposs2ukstu_blue_006_001_area.fits
mprojectid0000001,mdifffitid0000104,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000042,mdifffitid0000105,106.306560000,106306560,pposs2ukstu_blue_006_002.fits|pposs2ukstu_blue_006_002_area.fits
mprojectid0000001,mdifffitid0000105,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000043,mdifffitid0000106,106.346880000,106346880,pposs2ukstu_blue_006_003.fits|pposs2ukstu_blue_006_003_area.fits
mprojectid0000001,mdifffitid0000106,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000044,mdifffitid0000107,106.306560000,106306560,pposs2ukstu_blue_006_004.fits|pposs2ukstu_blue_006_004_area.fits
mprojectid0000001,mdifffitid0000107,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000045,mdifffitid0000108,106.387200000,106387200,pposs2ukstu_blue_006_005.fits|pposs2ukstu_blue_006_005_area.fits
mprojectid0000001,mdifffitid0000108,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000046,mdifffitid0000109,106.467840000,106467840,pposs2ukstu_blue_006_006.fits|pposs2ukstu_blue_006_006_area.fits
mprojectid0000001,mdifffitid0000109,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000047,mdifffitid0000110,106.467840000,106467840,pposs2ukstu_blue_006_007.fits|pposs2ukstu_blue_006_007_area.fits
mprojectid0000001,mdifffitid0000110,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000048,mdifffitid0000111,57.392640000,57392640,pposs2ukstu_blue_006_008.fits|pposs2ukstu_blue_006_008_area.fits
mprojectid0000001,mdifffitid0000111,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000049,mdifffitid0000112,110.004480000,110004480,pposs2ukstu_blue_007_001.fits|pposs2ukstu_blue_007_001_area.fits
mprojectid0000001,mdifffitid0000112,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000050,mdifffitid0000113,106.427520000,106427520,pposs2ukstu_blue_007_002.fits|pposs2ukstu_blue_007_002_area.fits
mprojectid0000001,mdifffitid0000113,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000051,mdifffitid0000114,106.346880000,106346880,pposs2ukstu_blue_007_003.fits|pposs2ukstu_blue_007_003_area.fits
mprojectid0000001,mdifffitid0000114,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000052,mdifffitid0000115,106.427520000,106427520,pposs2ukstu_blue_007_004.fits|pposs2ukstu_blue_007_004_area.fits
mprojectid0000001,mdifffitid0000115,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000053,mdifffitid0000116,106.387200000,106387200,pposs2ukstu_blue_007_005.fits|pposs2ukstu_blue_007_005_area.fits
mprojectid0000001,mdifffitid0000116,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000054,mdifffitid0000117,106.467840000,106467840,pposs2ukstu_blue_007_006.fits|pposs2ukstu_blue_007_006_area.fits
mprojectid0000001,mdifffitid0000117,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000055,mdifffitid0000118,106.594560000,106594560,pposs2ukstu_blue_007_007.fits|pposs2ukstu_blue_007_007_area.fits
mprojectid0000001,mdifffitid0000118,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000056,mdifffitid0000119,57.409920000,57409920,pposs2ukstu_blue_007_008.fits|pposs2ukstu_blue_007_008_area.fits
mprojectid0000001,mdifffitid0000119,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000057,mdifffitid0000120,58.734720000,58734720,pposs2ukstu_blue_008_001.fits|pposs2ukstu_blue_008_001_area.fits
mprojectid0000001,mdifffitid0000120,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000058,mdifffitid0000121,57.323520000,57323520,pposs2ukstu_blue_008_002.fits|pposs2ukstu_blue_008_002_area.fits
mprojectid0000001,mdifffitid0000121,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000059,mdifffitid0000122,57.323520000,57323520,pposs2ukstu_blue_008_003.fits|pposs2ukstu_blue_008_003_area.fits
mprojectid0000001,mdifffitid0000122,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000060,mdifffitid0000123,57.260160000,57260160,pposs2ukstu_blue_008_004.fits|pposs2ukstu_blue_008_004_area.fits
mprojectid0000001,mdifffitid0000123,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000061,mdifffitid0000124,57.369600000,57369600,pposs2ukstu_blue_008_005.fits|pposs2ukstu_blue_008_005_area.fits
mprojectid0000001,mdifffitid0000124,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000062,mdifffitid0000125,57.392640000,57392640,pposs2ukstu_blue_008_006.fits|pposs2ukstu_blue_008_006_area.fits
mprojectid0000001,mdifffitid0000125,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000063,mdifffitid0000126,57.392640000,57392640,pposs2ukstu_blue_008_007.fits|pposs2ukstu_blue_008_007_area.fits
mprojectid0000001,mdifffitid0000126,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000064,mdifffitid0000127,30.919680000,30919680,pposs2ukstu_blue_008_008.fits|pposs2ukstu_blue_008_008_area.fits
mprojectid0000001,mdifffitid0000127,106.220160000,106220160,pposs2ukstu_blue_001_001.fits|pposs2ukstu_blue_001_001_area.fits
mprojectid0000002,mdifffitid0000128,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000003,mdifffitid0000128,106.427520000,106427520,pposs2ukstu_blue_001_003.fits|pposs2ukstu_blue_001_003_area.fits
mprojectid0000002,mdifffitid0000129,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000004,mdifffitid0000129,106.387200000,106387200,pposs2ukstu_blue_001_004.fits|pposs2ukstu_blue_001_004_area.fits
mprojectid0000002,mdifffitid0000130,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000005,mdifffitid0000130,106.508160000,106508160,pposs2ukstu_blue_001_005.fits|pposs2ukstu_blue_001_005_area.fits
mprojectid0000006,mdifffitid0000131,106.554240000,106554240,pposs2ukstu_blue_001_006.fits|pposs2ukstu_blue_001_006_area.fits
mprojectid0000002,mdifffitid0000131,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000007,mdifffitid0000132,106.594560000,106594560,pposs2ukstu_blue_001_007.fits|pposs2ukstu_blue_001_007_area.fits
mprojectid0000002,mdifffitid0000132,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000008,mdifffitid0000133,57.392640000,57392640,pposs2ukstu_blue_001_008.fits|pposs2ukstu_blue_001_008_area.fits
mprojectid0000002,mdifffitid0000133,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000009,mdifffitid0000134,106.058880000,106058880,pposs2ukstu_blue_002_001.fits|pposs2ukstu_blue_002_001_area.fits
mprojectid0000002,mdifffitid0000134,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000002,mdifffitid0000135,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000010,mdifffitid0000135,106.346880000,106346880,pposs2ukstu_blue_002_002.fits|pposs2ukstu_blue_002_002_area.fits
mprojectid0000002,mdifffitid0000136,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000011,mdifffitid0000136,106.387200000,106387200,pposs2ukstu_blue_002_003.fits|pposs2ukstu_blue_002_003_area.fits
mprojectid0000002,mdifffitid0000137,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000012,mdifffitid0000137,106.387200000,106387200,pposs2ukstu_blue_002_004.fits|pposs2ukstu_blue_002_004_area.fits
mprojectid0000002,mdifffitid0000138,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000013,mdifffitid0000138,106.387200000,106387200,pposs2ukstu_blue_002_005.fits|pposs2ukstu_blue_002_005_area.fits
mprojectid0000002,mdifffitid0000139,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000014,mdifffitid0000139,106.467840000,106467840,pposs2ukstu_blue_002_006.fits|pposs2ukstu_blue_002_006_area.fits
mprojectid0000002,mdifffitid0000140,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000015,mdifffitid0000140,106.508160000,106508160,pposs2ukstu_blue_002_007.fits|pposs2ukstu_blue_002_007_area.fits
mprojectid0000002,mdifffitid0000141,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000016,mdifffitid0000141,57.392640000,57392640,pposs2ukstu_blue_002_008.fits|pposs2ukstu_blue_002_008_area.fits
mprojectid0000002,mdifffitid0000142,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000017,mdifffitid0000142,105.972480000,105972480,pposs2ukstu_blue_003_001.fits|pposs2ukstu_blue_003_001_area.fits
mprojectid0000002,mdifffitid0000143,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000018,mdifffitid0000143,106.387200000,106387200,pposs2ukstu_blue_003_002.fits|pposs2ukstu_blue_003_002_area.fits
mprojectid0000002,mdifffitid0000144,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000019,mdifffitid0000144,106.346880000,106346880,pposs2ukstu_blue_003_003.fits|pposs2ukstu_blue_003_003_area.fits
mprojectid0000002,mdifffitid0000145,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000020,mdifffitid0000145,106.346880000,106346880,pposs2ukstu_blue_003_004.fits|pposs2ukstu_blue_003_004_area.fits
mprojectid0000002,mdifffitid0000146,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000021,mdifffitid0000146,106.387200000,106387200,pposs2ukstu_blue_003_005.fits|pposs2ukstu_blue_003_005_area.fits
mprojectid0000002,mdifffitid0000147,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000022,mdifffitid0000147,106.427520000,106427520,pposs2ukstu_blue_003_006.fits|pposs2ukstu_blue_003_006_area.fits
mprojectid0000002,mdifffitid0000148,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000023,mdifffitid0000148,106.467840000,106467840,pposs2ukstu_blue_003_007.fits|pposs2ukstu_blue_003_007_area.fits
mprojectid0000002,mdifffitid0000149,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000024,mdifffitid0000149,57.369600000,57369600,pposs2ukstu_blue_003_008.fits|pposs2ukstu_blue_003_008_area.fits
mprojectid0000002,mdifffitid0000150,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000025,mdifffitid0000150,105.891840000,105891840,pposs2ukstu_blue_004_001.fits|pposs2ukstu_blue_004_001_area.fits
mprojectid0000002,mdifffitid0000151,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000026,mdifffitid0000151,106.346880000,106346880,pposs2ukstu_blue_004_002.fits|pposs2ukstu_blue_004_002_area.fits
mprojectid0000002,mdifffitid0000152,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000027,mdifffitid0000152,106.306560000,106306560,pposs2ukstu_blue_004_003.fits|pposs2ukstu_blue_004_003_area.fits
mprojectid0000002,mdifffitid0000153,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000028,mdifffitid0000153,106.346880000,106346880,pposs2ukstu_blue_004_004.fits|pposs2ukstu_blue_004_004_area.fits
mprojectid0000002,mdifffitid0000154,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000029,mdifffitid0000154,106.387200000,106387200,pposs2ukstu_blue_004_005.fits|pposs2ukstu_blue_004_005_area.fits
mprojectid0000002,mdifffitid0000155,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000030,mdifffitid0000155,106.387200000,106387200,pposs2ukstu_blue_004_006.fits|pposs2ukstu_blue_004_006_area.fits
mprojectid0000031,mdifffitid0000156,106.467840000,106467840,pposs2ukstu_blue_004_007.fits|pposs2ukstu_blue_004_007_area.fits
mprojectid0000002,mdifffitid0000156,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000032,mdifffitid0000157,57.409920000,57409920,pposs2ukstu_blue_004_008.fits|pposs2ukstu_blue_004_008_area.fits
mprojectid0000002,mdifffitid0000157,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000033,mdifffitid0000158,105.851520000,105851520,pposs2ukstu_blue_005_001.fits|pposs2ukstu_blue_005_001_area.fits
mprojectid0000002,mdifffitid0000158,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000034,mdifffitid0000159,106.306560000,106306560,pposs2ukstu_blue_005_002.fits|pposs2ukstu_blue_005_002_area.fits
mprojectid0000002,mdifffitid0000159,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000035,mdifffitid0000160,106.306560000,106306560,pposs2ukstu_blue_005_003.fits|pposs2ukstu_blue_005_003_area.fits
mprojectid0000002,mdifffitid0000160,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000036,mdifffitid0000161,106.346880000,106346880,pposs2ukstu_blue_005_004.fits|pposs2ukstu_blue_005_004_area.fits
mprojectid0000002,mdifffitid0000161,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000037,mdifffitid0000162,106.346880000,106346880,pposs2ukstu_blue_005_005.fits|pposs2ukstu_blue_005_005_area.fits
mprojectid0000002,mdifffitid0000162,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000038,mdifffitid0000163,106.387200000,106387200,pposs2ukstu_blue_005_006.fits|pposs2ukstu_blue_005_006_area.fits
mprojectid0000002,mdifffitid0000163,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000039,mdifffitid0000164,106.467840000,106467840,pposs2ukstu_blue_005_007.fits|pposs2ukstu_blue_005_007_area.fits
mprojectid0000002,mdifffitid0000164,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
mprojectid0000040,mdifffitid0000165,57.392640000,57392640,pposs2ukstu_blue_005_008.fits|pposs2ukstu_blue_005_008_area.fits
mprojectid0000002,mdifffitid0000165,106.467840000,106467840,pposs2ukstu_blue_001_002.fits|pposs2ukstu_blue_001_002_area.fits
