scenario_id,homogeneity,machine_id,kind,provider,machine_type,cpu_description,vcpus_or_threads,physical_cores,sockets,memory_gb,bandwidth_gbps,location,flops,speedup,ref_flops,price_per_hour_usd,network_price_per_gb_usd,pricing_model,price_source,network_latency_ms
network_fog_hpc_cloud,hetero,edge-fog-08,cluster,Fog Layer,edge-node,Dual-core edge,2,2,1,4,0.5,edge-site,10.56,0.025,422.4,0,0,owned_edge,synthetic network-sensitive scenario,10
network_fog_hpc_cloud,hetero,edge-fog-09,cluster,Fog Layer,edge-node,Dual-core edge,2,2,1,4,0.5,edge-site,10.56,0.025,422.4,0,0,owned_edge,synthetic network-sensitive scenario,10
network_fog_hpc_cloud,hetero,edge-fog-10,cluster,Fog Layer,edge-node,Dual-core edge,2,2,1,4,0.5,edge-site,10.56,0.025,422.4,0,0,owned_edge,synthetic network-sensitive scenario,10
network_fog_hpc_cloud,hetero,hpc-fog-01,cluster,HPC Center,hpc-standard,32-core HPC,32,32,2,128,200,hpc-site,3379.2,8,422.4,0,0,owned_hpc,synthetic network-sensitive scenario,1
network_fog_hpc_cloud,hetero,hpc-fog-02,cluster,HPC Center,hpc-fast,48-core HPC,48,48,2,192,200,hpc-site,5068.8,12,422.4,0,0,owned_hpc,synthetic network-sensitive scenario,1
network_fog_hpc_cloud,hetero,cloud-fog-01,cloud,Cloud Provider,compute-standard,16-vCPU cloud,16,16,1,64,10,cloud-region,3379.2,8,422.4,1.20,0.04,on_demand,synthetic network-sensitive scenario,2
network_fog_hpc_cloud,hetero,cloud-fog-02,cloud,Cloud Provider,compute-fast,64-vCPU cloud,64,64,1,256,10,cloud-region,6758.4,16,422.4,4.50,0.09,on_demand,synthetic network-sensitive scenario,2
network_wfcommons_overlay,hetero,compute-3,cloud,AWS EC2,m6i.12xlarge,48-vCPU equivalent of WfCommons compute-3,48,48,1,131.795984,10,wf-site-a,998.4,2.363636364,422.4,2.304,0.09,on_demand,https://aws.amazon.com/ec2/pricing/on-demand/,0.5
network_wfcommons_overlay,hetero,compute-4,cloud,AWS EC2,m6i.12xlarge,48-vCPU equivalent of WfCommons compute-4,48,48,1,131.795984,10,wf-site-a,460.8,1.090909091,422.4,2.304,0.09,on_demand,https://aws.amazon.com/ec2/pricing/on-demand/,0.5
network_wfcommons_overlay,hetero,compute-5,cloud,AWS EC2,m6i.12xlarge,48-vCPU equivalent of WfCommons compute-5,48,48,1,131.795984,10,wf-site-b,460.8,1.090909091,422.4,2.304,0.09,on_demand,https://aws.amazon.com/ec2/pricing/on-demand/,0.5
network_wfcommons_overlay,hetero,compute-6,cloud,AWS EC2,m6i.12xlarge,48-vCPU equivalent of WfCommons compute-6,48,48,1,131.795984,10,wf-site-b,568.32,1.345454545,422.4,2.304,0.09,on_demand,https://aws.amazon.com/ec2/pricing/on-demand/,0.5
network_wfcommons_overlay,hetero,compute-7,cloud,AWS EC2,m6i.12xlarge,48-vCPU equivalent of WfCommons compute-7,48,48,1,131.795984,10,wf-site-b,460.8,1.090909091,422.4,2.304,0.09,on_demand,https://aws.amazon.com/ec2/pricing/on-demand/,0.5
